timestamp_ms,ear,pitch,yaw,roll,label
1776974090577,0.31530,7.21378,-25.03863,1.79024,Distracted
1776974090716,0.34190,9.18717,-28.55035,4.52929,Distracted
1776974090859,0.26857,4.45350,-28.72135,4.30271,Distracted
1776974090982,0.21724,-1.25384,-28.08639,2.81645,Distracted
1776974091113,0.17041,-6.48081,-24.48613,-0.46635,Distracted
1776974091390,0.36410,-6.59952,-29.98071,-1.04771,Distracted
1776974091525,0.34723,-12.13859,-24.03745,-0.27287,Distracted
1776974091666,0.28682,-12.99511,-18.73757,0.37004,Distracted
1776974091806,0.38752,-14.58521,-17.83820,-0.65878,Distracted
1776974092058,0.28327,-18.58011,-1.93966,2.56510,Distracted
1776974092325,0.27540,-18.83800,-6.33627,3.94390,Distracted
1776974092462,0.09414,-16.72075,0.16422,4.72637,Distracted
1776974092601,0.11967,1.24189,-4.87584,-0.43413,Distracted
1776974092725,0.28305,-0.00097,-6.61450,-2.67560,Distracted
1776974092853,0.32138,-3.17735,-7.76502,-2.65265,Distracted
1776974093262,0.27670,-2.02180,-6.86643,-1.65758,Distracted
1776974093398,0.29036,-4.11850,-6.96400,-2.05402,Distracted
1776974093523,0.28827,-5.72359,-7.05081,-1.70811,Distracted
1776974093663,0.28633,-4.89312,-7.30472,-1.50207,Distracted
1776974093804,0.27613,-4.69259,-9.89706,-1.02220,Distracted
1776974093928,0.32717,-4.06740,-11.99428,-0.23363,Distracted
1776974094052,0.30674,-6.07710,-12.00119,0.32141,Distracted
1776974094177,0.09205,-5.47742,-14.23970,2.25569,Distracted
1776974094301,0.10346,-7.32073,-17.70025,1.85425,Distracted
1776974094426,0.12934,-16.81353,-23.18874,1.34638,Distracted
1776974094739,0.10591,-36.48404,-14.92021,-1.83895,Distracted
1776974094878,0.11005,-24.58158,-22.37305,0.70247,Distracted
1776974095010,0.13395,-23.61148,-23.39067,0.85435,Distracted
1776974095186,0.09693,-24.72630,-21.69502,-0.14145,Distracted
1776974095327,0.07936,-24.27002,-21.36460,-0.60611,Distracted
1776974095466,0.07848,-23.92715,-22.10485,-0.54780,Distracted
1776974095590,0.08726,-23.65152,-21.99031,-0.23048,Distracted
1776974095728,0.10431,-24.22563,-21.30292,0.36887,Distracted
1776974095877,0.13124,-23.44255,-21.72667,0.46097,Distracted
